time,filter,preprocess,model,epoch,test_volunteers,train_volunteers,auc,accuracy,precision,sensitivity,specificity,f1,group,sample,misinformation,missing_group,misinformation_group
2022/10/22 1:24,butterworth0.1,cv20,CNN,100,"[20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13]","[19, 2]",0.99976,0.99371,0.997,0.88013,0.99986,0.93493,216,31356,0,12,0
2022/10/22 1:50,butterworth0.1,cv20,CNN,100,"[11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2]","[20, 9]",0.9997,0.99571,0.99065,0.92416,0.99953,0.95625,216,31331,4,9,2
2022/10/22 2:16,butterworth0.1,cv20,CNN,100,"[7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9]","[11, 18]",0.99921,0.98539,0.99533,0.71544,0.99982,0.83249,216,31301,7,26,2
2022/10/22 2:42,butterworth0.1,cv20,CNN,100,"[5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18]","[7, 14]",0.99989,0.99639,0.99641,0.93217,0.99982,0.96322,216,31320,0,5,0
2022/10/22 3:08,butterworth0.1,cv20,CNN,100,"[6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14]","[5, 3]",0.99918,0.988,0.98618,0.78258,0.99939,0.87266,216,31351,1,19,1
2022/10/22 3:34,butterworth0.1,cv20,CNN,100,"[10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3]","[6, 15]",0.99557,0.98804,0.95345,0.80802,0.99785,0.87473,216,31351,77,13,15
2022/10/22 4:00,butterworth0.1,cv20,CNN,100,"[17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15]","[10, 8]",0.99833,0.99074,0.91598,0.89865,0.99562,0.90723,216,31349,111,0,20
2022/10/22 4:27,butterworth0.1,cv20,CNN,100,"[4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8]","[17, 12]",0.99972,0.99445,0.99112,0.89866,0.99957,0.94263,216,31298,0,3,0
2022/10/22 4:53,butterworth0.1,cv20,CNN,100,"[16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12]","[4, 1]",0.99912,0.98995,0.99756,0.80724,0.99989,0.89236,216,31309,0,16,0
2022/10/22 5:19,butterworth0.1,cv20,CNN,100,"[19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1]","[16, 13]",0.99914,0.989,0.99491,0.78725,0.99978,0.87898,216,31333,0,15,0
2022/10/21 21:50,butterworth0.2,cv20,CNN,100,"[20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13]","[19, 2]",0.99938,0.99507,0.97101,0.93179,0.9985,0.951,216,31356,25,9,7
2022/10/21 22:00,butterworth0.2,cv20,CNN,100,"[11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2]","[20, 9]",0.99951,0.99591,0.98651,0.93221,0.99932,0.95859,216,31331,16,9,5
